route_id,trip_id,service_id,direction_id,shape_id
INN-202,1286-79821-66600-2-24ed7dd6,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-24600-2-b7f111fa,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-54000-2-e30bf04a,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-39000-2-c4fc9da1,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-54600-2-6fdaa2b0,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-43200-2-8956be83,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-35400-2-ae912dce,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-74700-2-a36755b0,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-52200-2-1cb342bb,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-73800-2-a36755b0,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-33000-2-36ba4137,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-67200-2-0fbd2a86,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-37200-2-1ecf1ff2,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-40800-2-36ba4137,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-56400-2-6fdaa2b0,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79823-24600-2-4ea24acd,Weekday-1,0,1286-79823-209afed3
INN-202,1286-79821-81000-2-e17e0010,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-24600-2-e529ae0a,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-72000-2-e17e0010,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-69600-2-1b58af00,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-68400-2-e17e0010,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-59400-2-937df11b,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-25200-2-9b19a41f,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-72000-2-a36755b0,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-71100-2-e17e0010,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-26400-2-6f34802a,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-57000-2-e30bf04a,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-38400-2-6292aa1f,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-33000-2-84fc65a2,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79823-38640-2-7306708e,Saturday-1,0,1286-79823-209afed3
